num_samples,split,case,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_intermediate_target_to_source_foreground_ratio,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae,mean_final_target_to_source_foreground_ratio,intermediate_both_empty_count,intermediate_source_to_empty_collapse_count,final_both_empty_count,final_source_to_empty_collapse_count
4,train,CYST_PA69.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.002521621441701427,0.0008703345138201257,0.9703819751739502,0.990717425942421,0.0010141165985334678,0.48312979851230264,0.9596243053674698,0.9928237944841385,0.0007963401149027221,0.48739316903702723,2,0,2,0
4,train,CYST_PA69.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.054214725038036704,0.01745186818880029,0.900460347533226,0.9145198464393616,0.008509329985851901,0.36742111327297033,0.9132686406373978,0.932592362165451,0.00688838656060406,0.4051510796223593,2,0,2,0
4,train,CYST_PA69.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.0013242081186035648,0.0008422378186878632,0.9698286205530167,0.9921992421150208,0.0009042959718548023,0.5127261347043628,0.9586924761533737,0.9947457164525986,0.0006539285386679892,0.49595598543283,2,0,2,0
4,train,CYST_PA69.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.0029501392709789798,0.0004958080971846357,0.9702243059873581,0.9930723160505295,0.0007559328223721426,0.5010276379815722,0.9584753215312958,0.9938065558671951,0.0007294616079889818,0.49257539901163244,2,0,2,0
4,train,CYST_PA69.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.0013030966583755799,0.0007852461703805602,0.9698286205530167,0.9921992421150208,0.0009042959718548023,0.4875952718953077,0.9586924761533737,0.9947457164525986,0.0006539285386679892,0.5041063104473272,2,0,2,0
4,train,HCC_10140276_20170721.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.0033415405778214335,0.00046892600221326575,0.8805300295352936,0.9916829466819763,0.0003800791710091289,0.9940542798008518,0.9494665116071701,0.9925784915685654,0.0002820342242557672,0.9913190345708586,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,liver -> segment the liver,0.652979850769043,113.48493957519531,0.1503563467413187,0.060288308653980494,0.48959977798935217,0.49598897753448323,0.008077844249783084,0.37434521117045416,0.6250231241848736,0.6373739987692164,0.004955399490427226,0.5727936884675715,0,1,0,1
4,train,HCC_10140276_20170721.nii.gz,liver -> the liver,0.9907225370407104,18.397459030151367,0.002897517988458276,0.001899431284982711,0.8722130358219147,0.951423391699791,0.0008195344562409446,1.0973971310453028,0.9465878009796143,0.9871917814016342,0.00047344697668449953,0.991909508178352,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.004828120581805706,0.0009238247730536386,0.8706678599119186,0.9417481869459152,0.0008587401243858039,1.1206443041308378,0.9469938427209854,0.9887273460626602,0.00043306885527272243,0.9916420317954387,0,0,0,0
4,train,HCC_10140276_20170721.nii.gz,the liver -> liver,0.9907225370407104,18.397459030151367,0.002779482980258763,0.001739887782605365,0.8722130358219147,0.951423391699791,0.0008195344562409446,0.9212352828543823,0.9465878009796143,0.9871917814016342,0.00047344697668449953,1.0083363455721788,0,0,0,0
4,train,HEM_PA97.nii.gz,liver -> liver organ,0.9665619730949402,35.05427551269531,0.008925017900764942,0.0034569777781143785,0.9070227444171906,0.923732116818428,0.00143542091245763,0.8714874929928693,0.901986688375473,0.961638793349266,0.0013219450192991644,0.9347801717753693,0,0,0,0
