num_samples,split,case,patch_index,patch_kind,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_intermediate_target_to_source_foreground_ratio,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae,mean_final_target_to_source_foreground_ratio,intermediate_both_empty_count,intermediate_source_to_empty_collapse_count,final_both_empty_count,final_source_to_empty_collapse_count
1,train,CYST_PA69.nii.gz,2,foreground,liver -> liver organ,0.9665619730949402,35.05427551269531,0.004077378194779158,0.000978107564151287,0.9405680894851685,0.9809264540672302,0.0023043148685246706,0.9646680942184154,0.9135865569114685,0.984799861907959,0.0019266713643446565,0.9731891713016584,0,0,0,0
1,train,CYST_PA69.nii.gz,2,foreground,liver -> segment the liver,0.652979850769043,113.48493957519531,0.10681017488241196,0.037353284657001495,0.8217318654060364,0.8348909616470337,0.01950221322476864,0.7184154175588865,0.8121803998947144,0.8445704579353333,0.018006736412644386,0.7349272613880793,0,0,0,0
1,train,CYST_PA69.nii.gz,2,foreground,liver -> the liver,0.9907225370407104,18.397459030151367,0.0018997000297531486,0.0007959167123772204,0.9403977394104004,0.9846965670585632,0.0021206873934715986,1.0289079229122056,0.9107840657234192,0.9883061647415161,0.0017127422615885735,0.9843470919404176,0,0,0,0
1,train,CYST_PA69.nii.gz,2,foreground,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.005137450061738491,0.0008527130703441799,0.9411364197731018,0.990933358669281,0.0015030269278213382,1.0074946466809422,0.9120727777481079,0.9884240031242371,0.0016744271852076054,0.983659797969513,0,0,0,0
1,train,CYST_PA69.nii.gz,2,foreground,the liver -> liver,0.9907225370407104,18.397459030151367,0.0018924812320619822,0.0007701484719291329,0.9403977394104004,0.9846965670585632,0.0021206873934715986,0.9719042663891779,0.9107840657234192,0.9883061647415161,0.0017127422615885735,1.0159018177508161,0,0,0,0
1,train,CYST_PA69.nii.gz,3,foreground,liver -> liver organ,0.9665619730949402,35.05427551269531,0.004689512308686972,0.0022925916127860546,0.9453824162483215,0.9819432497024536,0.001752151525579393,0.9678510998307953,0.9314112067222595,0.986495316028595,0.0012586890952661633,0.9763835048464505,0,0,0,0
1,train,CYST_PA69.nii.gz,3,foreground,liver -> segment the liver,0.652979850769043,113.48493957519531,0.09043582528829575,0.029851354658603668,0.7830870151519775,0.8231884241104126,0.014535106718540192,0.751269035532995,0.8473125100135803,0.885798990726471,0.009546809829771519,0.8856770571013579,0,0,0,0
1,train,CYST_PA69.nii.gz,3,foreground,liver -> the liver,0.9907225370407104,18.397459030151367,0.0027498858980834484,0.00242097326554358,0.9430962204933167,0.9841004014015198,0.0014964964939281344,1.0219966159052454,0.9307132959365845,0.9906767010688782,0.0009029718930833042,0.9994768497909023,0,0,0,0
1,train,CYST_PA69.nii.gz,3,foreground,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.00482242600992322,0.0004892468568868935,0.9446532726287842,0.9813559055328369,0.0015207043616101146,0.9966159052453468,0.9296360611915588,0.9868022203445435,0.0012434192467480898,0.9866417980770168,0,0,0,0
1,train,CYST_PA69.nii.gz,3,foreground,the liver -> liver,0.9907225370407104,18.397459030151367,0.0026751661207526922,0.0022202900145202875,0.9430962204933167,0.9841004014015198,0.0014964964939281344,0.9784768211920529,0.9307132959365845,0.9906767010688782,0.0009029718930833042,1.0005234240384928,0,0,0,0
